judge_abbrev,judge_first_name,judge_name_override,notes
A. Greene,Austin,,
A. Markworth,Andrew,,
B. Cappelluti,Bret,,
B. Jones,Bobby,,
B. Kuhn,Bret,,
B. Mascaro,Bret,,
B. Mason,Brian,,
B. Peter,Brian,,
C. Craig,Charles,,
C. Heiny,Chad,,
C. Hestin,Chris,,
C. Rapacki,Chris,,
C. Walker,Clif,,
D. Bryan,Dan,,
D. Carbone,Dave,,
D. Marvin,Dave,,
D. McCarthy,Dave,,
E. Martinez,Ed,,
F. Miller,,,Could be Fred Miller or Fernando Miller; unresolved pending manual verification.
G. Crosby,Glen,,
G. Fugett,Glenn,,
G. Hamilton,Greg,,
G. Howarth,Giff,,
J. Ausdemore,Jeff,,
J. Brooks,Jeff,,
J. Davila,Julie,,
J. Duke,Jonathan,,
J. Dwyer,Jim,,
J. Gentry,Jeff,,
J. Harvey,Jason,,
J. Howell,John,,
J. Hunt,Jeremy,,
J. Kennedy,Jay,,
J. McArthur,Jay,,
J. Merritt,Jon,,
J. Pipitone,JJ,,
J. Robb,Jason,,
J. Shade,Jim,,
J. Whipple,Jeff,,
K. (Corney) Kuhn,Kim,,
K. Bell,Kevin,,
K. Giese,Ken,,
K. Stafford,KJ,,
L. Schueller,Lindsey,,
M. Davis,Mike,,
M. Gaines,Mike,,
M. Griffin,Marty,,
M. Jordan,Matt,,
M. Leitzke,Mike,,
M. McIntosh,Mike,,
M. Metz,Mark,,
M. Stevens,Matt,,
M. Waymire,Mark,,
N. Bellamy,Noah,,
N. Jones,Nola,,
N. Larrivee,Neil,,
O. Carmenates,Omar,,
P. Butler,Paul,,
P. Furnari,Peter,,
P. Gomez,Pedro,,
R. Hammond,Rich,,
R. Hardimon,Ralph,,
R. Hardin,Ron,,
R. Hinshaw,Richard,,
R. Kilgore,Ryan,,
R. Rodriguez,Rick,,
R. Sullens,Rob,,
R. Ulibarri,Ray,,
S. Collins,Steve,,
S. Johnson,Scott,,
S. Koter,Scott,,
S. Sybilski,Sly,,
T. Fairbanks,Tim,,
T. Jackson,Tim,,
T. Lymon,Tony,,
T. Moddison,Travis,,
T. Orbison,Tyler,,
T. Peterman,Travis,,
T. Rarick,Tom,,
T. Sammons,Tyler,,
T. Sanders,Terry,,
